word,count,keep,
@__athletes,1854,,1
20,1853,,1
su‰Û?,1851,,
pulling,1849,,1
orange,1846,,1
reason,1846,,1
tho,1844,,
17,1844,,1
http://t.co/g4d5lfwvvl,1843,,
#peytonmanning,1836,,1
bout,1835,,1
either,1825,,1
finally,1821,,1
4,1817,,1
blue,1811,,1
made,1805,,1
@dangerusswilson,1794,,1
#beastmode,1791,,1
@rsherman___25,1790,,1
@zekncashe,1786,,1
were,1785,,
28,1783,,1
marshawn,1779,,1
kick,1778,,1
oh,1778,,
eve‰Û?,1777,,
predicted,1768,,1
lines,1746,,1
thanks,1736,,1
cheer,1729,,1
predictions,1727,,1
everybody,1720,,1
being,1712,,1
him,1706,,
security,1701,,1
hulk,1700,,1
never,1695,,1
$1 ,1691,,1
two,1688,,1
secaucus,1686,,1
bc,1673,,1
@njtransit's,1668,,1
junction,1666,,1
enjoy,1660,,1
yeah,1651,,
#12s,1647,,1
19-14,1643,,1
10.5,1623,,1
#tvolution,1617,,1
12th,1609,,1
colors,1609,,1
48,1604,,1
gets,1593,,
didn't,1590,,
@espnmag,1589,,1
something's,1589,,
31,1584,,1
@rsherman_25,1572,,1
http://t.co/jcal8sipby,1564,,
check,1561,,1
haha,1552,,
6,1547,,1
may,1546,,
http:/‰Û?,1541,,
http://t.co/ye3dugnshu,1540,,
#football,1532,,1
http://t.co/i4s6jxp6jy,1531,,
goin,1529,,
long,1524,,1
catch,1524,,1
wearing,1514,,1
won,1493,,1
field,1493,,1
feel,1489,,1
other,1483,,1
please,1479,,1
anyone,1477,,1
@espnmondaynight,1476,,1
es,1475,,
#seabestfans,1474,,1
o,1452,,
most,1449,,
pretty,1443,,
real,1440,,
again,1433,,
quarterback,1430,,1
#lob,1426,,1
where,1423,,
bandwagon,1416,,1
york,1415,,1
yes,1415,,
34,1415,,1
final,1413,,1
por,1407,,
must,1406,,
yo,1394,,
sleep,1394,,1
many,1382,,
person,1381,,1
yards,1377,,1
@,1375,,
which,1373,,
gameday,1371,,1
source,1351,,1
TRUE,1346,,1
top,1346,,1
#manning,1342,,1
always,1336,,1
hard,1331,,1
also,1327,,
says,1325,,
@mlstadium,1323,,1
14,1321,,1
sorry,1315,,1
le,1315,,
?Ù÷â,1314,,
>,1309,,
lit,1298,,1
hoping,1298,,1
believe,1297,,1
wants,1294,,1
green,1290,,1
horse,1285,,1
http://t‰Û?,1284,,
congratulate,1281,,1
trophy,1276,,1
award,1276,,1
betting,1269,,1
21,1267,,1
yet,1262,,
moment,1255,,1
picking,1252,,1
family,1246,,1
support,1244,,1
#gameday,1240,,1
@wwe,1235,,1
might,1225,,
girl,1224,,
looking,1224,,1
twitter,1223,,
thing,1220,,
photo,1219,,1
ain't,1217,,
he's,1217,,
se,1217,,
para,1213,,
lombardi,1209,,1
ftw,1207,,1
@rikerr5,1205,,1
http://t.co‰Û?,1205,,
colorado,1202,,1
lot,1199,,
players,1198,,1
snitch,1195,,1
those,1192,,
friends,1191,,1
keep,1186,,
per,1182,,
den,1178,,1
done,1176,,
hey,1174,,
@abc,1166,,1
won't,1166,,
until,1165,,
gon,1162,,
they're,1161,,
nyc,1160,,1
bad,1159,,
follow,1156,,
told,1154,,
world,1150,,1
talk,1147,,1
t‰Û?,1146,,
con,1145,,1
cuz,1141,,
http://t.co/48af9sh0vu,1140,,
hc,1140,,1
finna,1138,,
life,1131,,1
saying,1131,,1
looks,1128,,
voy,1125,,
state,1124,,1
fun,1124,,1
god,1118,,1
wear,1116,,1
few,1096,,1
ok,1094,,
sending,1085,,1
bronco,1084,,1
mean,1081,,
contract,1080,,1
champ,1073,,1
what's,1068,,
coach,1063,,1
dream,1062,,1
little,1062,,1
yall,1060,,
sports,1057,,1
#broncoscountry,1050,,1
stop,1048,,1
chance,1046,,1
pay,1044,,1
12,1044,,1
informed,1042,,1
built,1038,,1
next,1036,,
breaking,1036,,1
making,1031,,
weather,1031,,1
ganan,1026,,
pull,1023,,1
ride,1022,,1
favor,1021,,1
v,1014,,
w/,1012,,
manning's,1012,,1
@nflnetwork,1012,,1
feeling,1011,,1
away,1011,,
http://t.co/44wkrk9j1p,1009,,
championships,1007,,1
fav-,1006,,
video,1003,,1
valid,1002,,1
#denverbroncos,1000,,1
